num_entries	Number or entries	nvme_aggregate_endurance_group_event
entries	List of entries	nvme_aggregate_endurance_group_event
num_entries	Number of entries	nvme_aggregate_predictable_lat_event
entries	Entry list	nvme_aggregate_predictable_lat_event
grpid	ANA group id	nvme_ana_group_desc
nnsids	Number of namespaces in nsids	nvme_ana_group_desc
chgcnt	Change counter	nvme_ana_group_desc
state	ANA state	nvme_ana_group_desc
rsvd17	Reserved	nvme_ana_group_desc
nsids	List of namespaces	nvme_ana_group_desc
chgcnt	Change Count	nvme_ana_log
ngrps	Number of ANA Group Descriptors	nvme_ana_log
rsvd10	Reserved	nvme_ana_log
descs	ANA Group Descriptor	nvme_ana_log
lid	Boot Partition Identifier	nvme_boot_partition
rsvd1	Reserved	nvme_boot_partition
bpinfo	Boot Partition Information	nvme_boot_partition
rsvd8	Reserved	nvme_boot_partition
domainid	Domain Identifier	nvme_capacity_config_desc
egcn	Number Endurance Group Configuration Descriptors	nvme_capacity_config_desc
rsvd6	Reserved	nvme_capacity_config_desc
egcd	Endurance Group Config descriptors. See struct nvme_end_grp_config_desc	nvme_capacity_config_desc
nsmgt_cdw10	Namespace Management CDW10	nvme_change_ns_event
rsvd4	Reserved	nvme_change_ns_event
nsze	Namespace Size	nvme_change_ns_event
rsvd16	Reserved	nvme_change_ns_event
nscap	Namespace Capacity	nvme_change_ns_event
flbas	Formatted LBA Size	nvme_change_ns_event
dps	End-to-end Data Protection Type Settings	nvme_change_ns_event
nmic	Namespace Multi-path I/O and Namespace Sharing Capabilities	nvme_change_ns_event
rsvd35	Reserved	nvme_change_ns_event
ana_grp_id	ANA Group Identifier	nvme_change_ns_event
nvmset_id	NVM Set Identifier	nvme_change_ns_event
rsvd42	Reserved	nvme_change_ns_event
nsid	Namespace ID	nvme_change_ns_event
chanid	Channel Identifier	nvme_channel_config_desc
chmus	Number Channel Media Units	nvme_channel_config_desc
acs	Admin Command Supported	nvme_cmd_effects_log
iocs	I/O Command Supported	nvme_cmd_effects_log
rsvd	Reserved	nvme_cmd_effects_log
rsvd0	Reserved	nvme_copy_range
slba	Starting LBA	nvme_copy_range
nlb	Number of Logical Blocks	nvme_copy_range
rsvd18	Reserved	nvme_copy_range
eilbrt	Expected Initial Logical Block Reference Tag / Expected Logical Block Storage Tag	nvme_copy_range
elbat	Expected Logical Block Application Tag	nvme_copy_range
elbatm	Expected Logical Block Application Tag Mask	nvme_copy_range
rsvd0	Reserved	nvme_copy_range_f1
slba	Starting LBA	nvme_copy_range_f1
nlb	Number of Logical Blocks	nvme_copy_range_f1
rsvd18	Reserved	nvme_copy_range_f1
elbt	Expected Initial Logical Block Reference Tag / Expected Logical Block Storage Tag	nvme_copy_range_f1
elbat	Expected Logical Block Application Tag	nvme_copy_range_f1
elbatm	Expected Logical Block Application Tag Mask	nvme_copy_range_f1
num	Number of Identifiers	nvme_ctrl_list
identifier	NVM subsystem unique controller identifier	nvme_ctrl_list
cattr	Context Attributes	nvme_dsm_range
nlb	Length in logical blocks	nvme_dsm_range
slba	Starting LBA	nvme_dsm_range
nr_entries	Number of Entries	nvme_eg_event_aggregate_log
egids	Endurance Group Identifier	nvme_eg_event_aggregate_log
egchans	Number of Channels	nvme_end_grp_chan_desc
endgid	Endurance Group Identifier	nvme_end_grp_config_desc
